Origin IATA,Destination IATA,OCity,DCity,Fclass Seats,Bclass Seats,Eclass Seats,Total Seats
JFK,DEL,New York,New Delhi,22,70,273,365
PHL,LIS,Philadelphia,Lisbon,0,0,250,0
PHL,LIS,Philadelphia,Lisbon,0,0,250,0
MIA,GIG,Miami,Rio De Janeiro,0,0,291,291
MIA,GIG,Miami,Rio De Janeiro,0,0,291,291
EZE,MIA,Ezeiza,Miami,0,0,250,0
EZE,MIA,Ezeiza,Miami,0,0,250,0
EZE,MIA,Ezeiza,Miami,0,0,250,0
JFK,DEL,New York,New Delhi,22,70,273,365
EZE,MIA,Ezeiza,Miami,0,0,250,0
PHL,FCO,Philadelphia,Rome,0,0,250,0
EZE,MIA,Ezeiza,Miami,0,0,291,291
PHL,LIS,Philadelphia,Lisbon,0,0,250,0
GRU,DFW,Sao Paulo,Dallas-Fort Worth,0,48,204,252
MIA,GRU,Miami,Sao Paulo,22,70,273,365
GRU,DFW,Sao Paulo,Dallas-Fort Worth,0,48,204,252
DFW,GRU,Dallas-Fort Worth,Sao Paulo,0,0,291,291
DFW,LHR,Dallas-Fort Worth,London,22,70,273,365
GRU,DFW,Sao Paulo,Dallas-Fort Worth,0,48,204,252
GRU,DFW,Sao Paulo,Dallas-Fort Worth,0,48,204,252
GRU,DFW,Sao Paulo,Dallas-Fort Worth,0,48,204,252
EZE,MIA,Ezeiza,Miami,0,0,250,0
JFK,DEL,New York,New Delhi,22,70,273,365
GRU,DFW,Sao Paulo,Dallas-Fort Worth,0,0,291,291
LAX,LHR,Los Angeles,London,22,70,273,365
EZE,MIA,Ezeiza,Miami,0,0,250,0
LAX,LHR,Los Angeles,London,22,70,273,365
LAX,LHR,Los Angeles,London,22,70,273,365
PHX,LHR,Phoenix,London,0,0,291,291
ORD,LHR,Chicago,London,0,48,204,252
LAX,LHR,Los Angeles,London,22,70,273,365
LAX,LHR,Los Angeles,London,22,70,273,365
PHL,MIA,Philadelphia,Miami,0,0,250,0
GRU,DFW,Sao Paulo,Dallas-Fort Worth,0,48,204,252
LAX,LHR,Los Angeles,London,22,70,273,365
ORD,LHR,Chicago,London,0,48,204,252
JFK,EZE,New York,Ezeiza,0,0,291,291
GIG,MIA,Rio De Janeiro,Miami,0,0,291,291
GIG,MIA,Rio De Janeiro,Miami,0,0,291,291
GIG,MIA,Rio De Janeiro,Miami,0,0,291,291
GIG,MIA,Rio De Janeiro,Miami,0,0,291,291
GIG,MIA,Rio De Janeiro,Miami,0,0,291,291
EZE,DFW,Ezeiza,Dallas-Fort Worth,0,0,291,291
JFK,EZE,New York,Ezeiza,0,0,291,291
ORD,LHR,Chicago,London,0,48,204,252
MIA,JFK,Miami,New York,0,0,291,291
CLT,LHR,Charlotte,London,0,0,291,291
SCL,MIA,Santiago,Miami,0,0,250,0
DFW,CDG,Dallas-Fort Worth,Paris,0,48,204,252
DFW,CDG,Dallas-Fort Worth,Paris,0,48,204,252
GIG,MIA,Rio De Janeiro,Miami,0,0,291,291
SCL,MIA,Santiago,Miami,0,0,250,0
DFW,CDG,Dallas-Fort Worth,Paris,0,48,204,252
GIG,MIA,Rio De Janeiro,Miami,0,0,291,291
EZE,DFW,Ezeiza,Dallas-Fort Worth,0,0,291,291
EZE,DFW,Ezeiza,Dallas-Fort Worth,0,0,291,291
JFK,EZE,New York,Ezeiza,0,0,291,291
SCL,MIA,Santiago,Miami,0,0,250,0
SCL,MIA,Santiago,Miami,0,0,250,0
SCL,MIA,Santiago,Miami,0,0,250,0
DFW,CDG,Dallas-Fort Worth,Paris,0,48,204,252
EZE,DFW,Ezeiza,Dallas-Fort Worth,0,0,291,291
JFK,EZE,New York,Ezeiza,0,0,291,291
ORD,LHR,Chicago,London,0,48,204,252
SCL,MIA,Santiago,Miami,0,0,250,0
EZE,DFW,Ezeiza,Dallas-Fort Worth,0,0,291,291
SCL,MIA,Santiago,Miami,0,0,250,0
EZE,DFW,Ezeiza,Dallas-Fort Worth,0,0,291,291
GRU,MIA,Sao Paulo,Miami,0,0,291,291
JFK,EZE,New York,Ezeiza,0,0,291,291
GRU,MIA,Sao Paulo,Miami,0,0,291,291
JFK,EZE,New York,Ezeiza,0,0,291,291
GRU,MIA,Sao Paulo,Miami,0,0,291,291
PHL,CDG,Philadelphia,Paris,0,0,250,0
MIA,GRU,Miami,Sao Paulo,22,70,273,365
GRU,MIA,Sao Paulo,Miami,0,0,291,291
JFK,EZE,New York,Ezeiza,0,0,291,291
PHL,LIS,Philadelphia,Lisbon,0,0,250,0
DFW,LHR,Dallas-Fort Worth,London,22,70,273,365
PHL,CDG,Philadelphia,Paris,0,0,250,0
PHL,CDG,Philadelphia,Paris,0,0,250,0
DFW,LHR,Dallas-Fort Worth,London,22,70,273,365
ORD,LHR,Chicago,London,0,48,204,252
DFW,LHR,Dallas-Fort Worth,London,22,70,273,365
PHL,CDG,Philadelphia,Paris,0,0,250,0
ORD,LHR,Chicago,London,0,48,204,252
EZE,MIA,Ezeiza,Miami,0,0,250,0
PHL,CDG,Philadelphia,Paris,0,0,250,0
MIA,GIG,Miami,Rio De Janeiro,0,0,291,291
PHL,LIS,Philadelphia,Lisbon,0,0,250,0
DFW,CDG,Dallas-Fort Worth,Paris,0,48,204,252
PHL,CDG,Philadelphia,Paris,0,0,250,0
JFK,LHR,New York,London,22,70,273,365
JFK,LHR,New York,London,22,70,273,365
JFK,GRU,New York,Sao Paulo,0,0,291,291
JFK,LHR,New York,London,22,70,273,365
ORD,LHR,Chicago,London,0,48,204,252
JFK,LHR,New York,London,22,70,273,365
MIA,LHR,Miami,London,22,70,273,365
PHL,LHR,Philadelphia,London,0,48,204,252
PHL,LHR,Philadelphia,London,0,48,204,252
PHL,LHR,Philadelphia,London,0,48,204,252
MIA,GIG,Miami,Rio De Janeiro,0,0,291,291
ORD,LHR,Chicago,London,0,48,204,252
MIA,GRU,Miami,Sao Paulo,0,0,291,291
PHL,LHR,Philadelphia,London,0,0,250,0
PHL,LHR,Philadelphia,London,0,48,204,252
JFK,LHR,New York,London,22,70,273,365
DFW,LHR,Dallas-Fort Worth,London,22,70,273,365
ORD,DUB,Chicago,Dublin,0,0,250,0
ORD,DUB,Chicago,Dublin,0,0,250,0
PHL,LHR,Philadelphia,London,0,48,204,252
MIA,GRU,Miami,Sao Paulo,0,0,291,291
DFW,LHR,Dallas-Fort Worth,London,0,0,291,291
ORD,DUB,Chicago,Dublin,0,0,250,0
DFW,CDG,Dallas-Fort Worth,Paris,0,48,204,252
MIA,GRU,Miami,Sao Paulo,0,0,291,291
JFK,LHR,New York,London,22,70,273,365
GRU,MIA,Sao Paulo,Miami,0,0,291,291
ORD,DUB,Chicago,Dublin,0,0,250,0
JFK,TLV,New York,Tel Aviv,0,0,291,291
JFK,TLV,New York,Tel Aviv,0,0,291,291
MIA,EZE,Miami,Ezeiza,0,0,250,0
ORD,DUB,Chicago,Dublin,0,0,250,0
JFK,GRU,New York,Sao Paulo,0,0,291,291
MIA,GRU,Miami,Sao Paulo,0,0,291,291
JFK,GRU,New York,Sao Paulo,0,0,291,291
JFK,TLV,New York,Tel Aviv,0,0,291,291
MIA,SCL,Miami,Santiago,0,0,250,0
MIA,SCL,Miami,Santiago,0,0,250,0
JFK,TLV,New York,Tel Aviv,0,0,291,291
MIA,MAD,Miami,Madrid,0,48,204,252
MIA,EZE,Miami,Ezeiza,0,0,291,291
JFK,LHR,New York,London,22,70,273,365
MIA,EZE,Miami,Ezeiza,0,0,291,291
JFK,GRU,New York,Sao Paulo,0,0,291,291
JFK,TLV,New York,Tel Aviv,0,0,291,291
MIA,EZE,Miami,Ezeiza,0,0,291,291
MIA,EZE,Miami,Ezeiza,0,0,291,291
MIA,EZE,Miami,Ezeiza,0,0,291,291
MIA,GRU,Miami,Sao Paulo,0,0,291,291
EZE,DFW,Ezeiza,Dallas-Fort Worth,0,0,291,291
MIA,EZE,Miami,Ezeiza,0,0,291,291
MIA,SCL,Miami,Santiago,0,0,250,0
HNL,DFW,Honolulu,Dallas-Fort Worth,0,48,204,252
HNL,DFW,Honolulu,Dallas-Fort Worth,0,48,204,252
MIA,GRU,Miami,Sao Paulo,0,0,291,291
HNL,DFW,Honolulu,Dallas-Fort Worth,0,48,204,252
HNL,DFW,Honolulu,Dallas-Fort Worth,0,48,204,252
HNL,DFW,Honolulu,Dallas-Fort Worth,0,48,204,252
DFW,LHR,Dallas-Fort Worth,London,22,70,273,365
MIA,SCL,Miami,Santiago,0,0,250,0
PHX,LHR,Phoenix,London,0,0,291,291
HNL,DFW,Honolulu,Dallas-Fort Worth,0,48,204,252
DFW,LHR,Dallas-Fort Worth,London,22,70,273,365
ORD,LHR,Chicago,London,0,48,204,252
ORD,LHR,Chicago,London,0,48,204,252
MIA,EZE,Miami,Ezeiza,0,0,250,0
PHL,LHR,Philadelphia,London,0,48,204,252
DFW,LHR,Dallas-Fort Worth,London,22,70,273,365
OGG,DFW,Kahului,Dallas-Fort Worth,0,48,204,252
PHL,CDG,Philadelphia,Paris,0,0,250,0
JFK,LHR,New York,London,22,70,273,365
OGG,DFW,Kahului,Dallas-Fort Worth,0,48,204,252
OGG,DFW,Kahului,Dallas-Fort Worth,0,48,204,252
HNL,DFW,Honolulu,Dallas-Fort Worth,0,48,204,252
OGG,DFW,Kahului,Dallas-Fort Worth,0,48,204,252
OGG,DFW,Kahului,Dallas-Fort Worth,0,48,204,252
HNL,DFW,Honolulu,Dallas-Fort Worth,0,0,291,291
HNL,DFW,Honolulu,Dallas-Fort Worth,0,0,291,291
HNL,DFW,Honolulu,Dallas-Fort Worth,0,0,291,291
HNL,DFW,Honolulu,Dallas-Fort Worth,0,0,291,291
HNL,DFW,Honolulu,Dallas-Fort Worth,0,0,291,291
DFW,LHR,Dallas-Fort Worth,London,22,70,273,365
GRU,MIA,Sao Paulo,Miami,0,0,291,291
DFW,CDG,Dallas-Fort Worth,Paris,0,48,204,252
OGG,DFW,Kahului,Dallas-Fort Worth,0,48,204,252
HNL,DFW,Honolulu,Dallas-Fort Worth,0,0,291,291
HNL,DFW,Honolulu,Dallas-Fort Worth,0,0,291,291
MIA,EZE,Miami,Ezeiza,0,0,291,291
JFK,DOH,New York,Doha,22,70,273,365
JFK,DOH,New York,Doha,22,70,273,365
JFK,DOH,New York,Doha,22,70,273,365
ORD,LHR,Chicago,London,0,48,204,252
HNL,DFW,Honolulu,Dallas-Fort Worth,0,0,291,291
GRU,MIA,Sao Paulo,Miami,0,0,291,291
JFK,DOH,New York,Doha,22,70,273,365
JFK,DOH,New York,Doha,22,70,273,365
MIA,SCL,Miami,Santiago,0,0,250,0
OGG,DFW,Kahului,Dallas-Fort Worth,0,0,291,291
OGG,DFW,Kahului,Dallas-Fort Worth,0,0,291,291
OGG,DFW,Kahului,Dallas-Fort Worth,0,0,291,291
OGG,DFW,Kahului,Dallas-Fort Worth,0,0,291,291
OGG,DFW,Kahului,Dallas-Fort Worth,0,0,291,291
OGG,DFW,Kahului,Dallas-Fort Worth,0,0,291,291
JFK,TLV,New York,Tel Aviv,0,0,291,291
LHR,JFK,London,New York,22,70,273,365
OGG,DFW,Kahului,Dallas-Fort Worth,0,48,204,252
MIA,SCL,Miami,Santiago,0,0,250,0
JFK,TLV,New York,Tel Aviv,0,0,291,291
LAX,MIA,Los Angeles,Miami,22,70,273,365
LAX,MIA,Los Angeles,Miami,22,70,273,365
LAX,MIA,Los Angeles,Miami,22,70,273,365
OGG,DFW,Kahului,Dallas-Fort Worth,0,0,291,291
LAX,MIA,Los Angeles,Miami,22,70,273,365
LAX,MIA,Los Angeles,Miami,22,70,273,365
LHR,ORD,London,Chicago,0,48,204,252
LHR,ORD,London,Chicago,0,48,204,252
LHR,ORD,London,Chicago,0,48,204,252
LHR,ORD,London,Chicago,0,48,204,252
LHR,ORD,London,Chicago,0,48,204,252
DOH,JFK,Doha,New York,22,70,273,365
DFW,LHR,Dallas-Fort Worth,London,22,70,273,365
LHR,ORD,London,Chicago,0,48,204,252
LHR,ORD,London,Chicago,0,48,204,252
JFK,DOH,New York,Doha,22,70,273,365
FRA,DFW,Frankfurt,Dallas-Fort Worth,0,0,291,291
FRA,DFW,Frankfurt,Dallas-Fort Worth,0,0,291,291
FRA,DFW,Frankfurt,Dallas-Fort Worth,0,0,291,291
LAX,MIA,Los Angeles,Miami,22,70,273,365
FRA,DFW,Frankfurt,Dallas-Fort Worth,0,0,291,291
MUC,CLT,Munich,Charlotte,0,0,291,291
LAX,MIA,Los Angeles,Miami,22,70,273,365
MUC,CLT,Munich,Charlotte,0,0,291,291
FRA,DFW,Frankfurt,Dallas-Fort Worth,0,0,291,291
FRA,DFW,Frankfurt,Dallas-Fort Worth,0,0,291,291
FRA,DFW,Frankfurt,Dallas-Fort Worth,0,0,291,291
MUC,CLT,Munich,Charlotte,0,0,291,291
BCN,PHL,Barcelona,Philadelphia,0,0,250,0
BCN,PHL,Barcelona,Philadelphia,0,0,250,0
BCN,PHL,Barcelona,Philadelphia,0,0,250,0
BCN,PHL,Barcelona,Philadelphia,0,0,250,0
MUC,CLT,Munich,Charlotte,0,0,291,291
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
MUC,CLT,Munich,Charlotte,0,0,291,291
BCN,PHL,Barcelona,Philadelphia,0,0,250,0
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
BCN,PHL,Barcelona,Philadelphia,0,0,250,0
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
AMS,PHL,Amsterdam,Philadelphia,0,0,250,0
MUC,CLT,Munich,Charlotte,0,0,291,291
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
MUC,CLT,Munich,Charlotte,0,0,291,291
MAD,JFK,Madrid,New York,0,0,291,291
FCO,CLT,Rome,Charlotte,0,0,291,291
FCO,CLT,Rome,Charlotte,0,0,291,291
FCO,CLT,Rome,Charlotte,0,0,291,291
FCO,CLT,Rome,Charlotte,0,0,291,291
MAD,JFK,Madrid,New York,0,0,291,291
MAD,JFK,Madrid,New York,0,0,291,291
DUB,DFW,Dublin,Dallas-Fort Worth,0,0,250,0
MAD,JFK,Madrid,New York,0,0,291,291
ICN,DFW,Seoul,Dallas-Fort Worth,0,0,250,0
MAD,JFK,Madrid,New York,0,0,291,291
MAD,JFK,Madrid,New York,0,0,291,291
BCN,PHL,Barcelona,Philadelphia,0,0,250,0
LHR,PHL,London,Philadelphia,0,48,204,252
LHR,PHL,London,Philadelphia,0,48,204,252
MIA,DFW,Miami,Dallas-Fort Worth,0,0,291,291
FCO,CLT,Rome,Charlotte,0,0,291,291
LHR,PHL,London,Philadelphia,0,48,204,252
AMS,PHL,Amsterdam,Philadelphia,0,0,250,0
ICN,DFW,Seoul,Dallas-Fort Worth,0,0,250,0
LHR,PHL,London,Philadelphia,0,48,204,252
ICN,DFW,Seoul,Dallas-Fort Worth,0,0,250,0
FCO,DFW,Rome,Dallas-Fort Worth,0,0,291,291
ICN,DFW,Seoul,Dallas-Fort Worth,0,0,250,0
ICN,DFW,Seoul,Dallas-Fort Worth,0,0,250,0
LHR,PHL,London,Philadelphia,0,48,204,252
DUB,ORD,Dublin,Chicago,0,0,250,0
LHR,PHX,London,Phoenix,0,0,291,291
AMS,PHL,Amsterdam,Philadelphia,0,0,250,0
DUB,ORD,Dublin,Chicago,0,0,250,0
FCO,DFW,Rome,Dallas-Fort Worth,0,0,291,291
AMS,PHL,Amsterdam,Philadelphia,0,0,250,0
FCO,JFK,Rome,New York,0,0,291,291
FCO,JFK,Rome,New York,0,0,291,291
LHR,PHX,London,Phoenix,0,0,291,291
AMS,PHL,Amsterdam,Philadelphia,0,0,250,0
DUB,ORD,Dublin,Chicago,0,0,250,0
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
DUB,ORD,Dublin,Chicago,0,0,250,0
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
FCO,DFW,Rome,Dallas-Fort Worth,0,0,291,291
FCO,DFW,Rome,Dallas-Fort Worth,0,0,291,291
AMS,PHL,Amsterdam,Philadelphia,0,0,250,0
LHR,PHX,London,Phoenix,0,0,291,291
FCO,JFK,Rome,New York,0,0,291,291
AMS,PHL,Amsterdam,Philadelphia,0,0,250,0
LHR,PHX,London,Phoenix,0,0,291,291
LHR,PHX,London,Phoenix,0,0,291,291
FRA,DFW,Frankfurt,Dallas-Fort Worth,0,0,291,291
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
FCO,JFK,Rome,New York,0,0,291,291
FCO,JFK,Rome,New York,0,0,291,291
LHR,JFK,London,New York,22,70,273,365
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
ATH,PHL,Athens,Philadelphia,0,0,250,0
AMS,DFW,Amsterdam,Dallas-Fort Worth,0,48,204,252
ATH,PHL,Athens,Philadelphia,0,0,250,0
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
LHR,PHL,London,Philadelphia,0,48,204,252
FCO,JFK,Rome,New York,0,0,291,291
FCO,JFK,Rome,New York,0,0,291,291
ATH,PHL,Athens,Philadelphia,0,0,250,0
ATH,PHL,Athens,Philadelphia,0,0,250,0
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
LHR,JFK,London,New York,22,70,273,365
LHR,JFK,London,New York,22,70,273,365
FCO,CLT,Rome,Charlotte,0,0,291,291
LHR,PHX,London,Phoenix,0,0,291,291
ATH,PHL,Athens,Philadelphia,0,0,250,0
LHR,JFK,London,New York,22,70,273,365
FRA,DFW,Frankfurt,Dallas-Fort Worth,0,0,291,291
ATH,PHL,Athens,Philadelphia,0,0,250,0
AMS,DFW,Amsterdam,Dallas-Fort Worth,0,48,204,252
LHR,DFW,London,Dallas-Fort Worth,22,70,273,365
MXP,JFK,Milan,New York,0,0,291,291
MAD,CLT,Madrid,Charlotte,0,0,291,291
LHR,RDU,London,Raleigh/Durham,0,0,291,291
MAD,CLT,Madrid,Charlotte,0,0,291,291
LHR,RDU,London,Raleigh/Durham,0,0,291,291
MAD,CLT,Madrid,Charlotte,0,0,291,291
LHR,RDU,London,Raleigh/Durham,0,0,291,291
LHR,PHX,London,Phoenix,0,0,291,291
LHR,RDU,London,Raleigh/Durham,0,0,291,291
FCO,PHL,Rome,Philadelphia,0,0,250,0
LHR,JFK,London,New York,22,70,273,365
MAD,CLT,Madrid,Charlotte,0,0,291,291
LHR,RDU,London,Raleigh/Durham,0,0,291,291
LHR,RDU,London,Raleigh/Durham,0,0,291,291
FCO,DFW,Rome,Dallas-Fort Worth,0,0,291,291
FCO,PHL,Rome,Philadelphia,0,0,250,0
FCO,PHL,Rome,Philadelphia,0,0,250,0
FCO,PHL,Rome,Philadelphia,0,0,250,0
LHR,JFK,London,New York,22,70,273,365
DUB,ORD,Dublin,Chicago,0,0,250,0
MXP,JFK,Milan,New York,0,0,291,291
MAD,CLT,Madrid,Charlotte,0,0,291,291
FCO,CLT,Rome,Charlotte,0,0,291,291
FCO,PHL,Rome,Philadelphia,0,0,250,0
ATH,PHL,Athens,Philadelphia,0,0,250,0
MAD,MIA,Madrid,Miami,0,48,204,252
LHR,BOS,London,Boston,0,0,291,291
MAD,MIA,Madrid,Miami,0,48,204,252
MXP,JFK,Milan,New York,0,0,291,291
LHR,BOS,London,Boston,0,0,291,291
ICN,DFW,Seoul,Dallas-Fort Worth,0,0,250,0
MAD,MIA,Madrid,Miami,0,48,204,252
MXP,JFK,Milan,New York,0,0,291,291
MAD,JFK,Madrid,New York,0,0,291,291
MXP,JFK,Milan,New York,0,0,291,291
MAD,MIA,Madrid,Miami,0,48,204,252
LHR,BOS,London,Boston,0,0,291,291
MAD,MIA,Madrid,Miami,0,48,204,252
LHR,RDU,London,Raleigh/Durham,0,0,291,291
MAD,DFW,Madrid,Dallas-Fort Worth,0,48,204,252
LHR,BOS,London,Boston,0,0,291,291
BCN,ORD,Barcelona,Chicago,0,0,250,0
CDG,DFW,Paris,Dallas-Fort Worth,0,48,204,252
NRT,DFW,Tokyo,Dallas-Fort Worth,0,48,204,252
CDG,DFW,Paris,Dallas-Fort Worth,0,48,204,252
FCO,DFW,Rome,Dallas-Fort Worth,0,0,291,291
ZRH,PHL,Zurich,Philadelphia,0,0,250,0
NRT,DFW,Tokyo,Dallas-Fort Worth,0,48,204,252
LHR,BOS,London,Boston,0,0,291,291
NRT,DFW,Tokyo,Dallas-Fort Worth,0,48,204,252
BCN,ORD,Barcelona,Chicago,0,0,250,0
MXP,JFK,Milan,New York,0,0,291,291
LHR,CLT,London,Charlotte,0,0,291,291
FCO,PHL,Rome,Philadelphia,0,0,250,0
NRT,DFW,Tokyo,Dallas-Fort Worth,0,48,204,252
LHR,CLT,London,Charlotte,0,0,291,291
CDG,DFW,Paris,Dallas-Fort Worth,0,48,204,252
LHR,CLT,London,Charlotte,0,0,291,291
ATH,ORD,Athens,Chicago,0,48,204,252
ATH,ORD,Athens,Chicago,0,48,204,252
ATH,ORD,Athens,Chicago,0,48,204,252
ZRH,PHL,Zurich,Philadelphia,0,0,250,0
NRT,DFW,Tokyo,Dallas-Fort Worth,0,48,204,252
LHR,CLT,London,Charlotte,0,0,291,291
ZRH,PHL,Zurich,Philadelphia,0,0,250,0
NRT,DFW,Tokyo,Dallas-Fort Worth,0,48,204,252
ZRH,PHL,Zurich,Philadelphia,0,0,250,0
ZRH,PHL,Zurich,Philadelphia,0,0,250,0
ATH,ORD,Athens,Chicago,0,48,204,252
LHR,MIA,London,Miami,0,0,291,291
ATH,ORD,Athens,Chicago,0,48,204,252
ATH,ORD,Athens,Chicago,0,48,204,252
LHR,JFK,London,New York,22,70,273,365
LHR,MIA,London,Miami,0,0,291,291
ATH,ORD,Athens,Chicago,0,48,204,252
LHR,MIA,London,Miami,0,0,291,291
LHR,CLT,London,Charlotte,0,0,291,291
BCN,ORD,Barcelona,Chicago,0,0,250,0
BCN,ORD,Barcelona,Chicago,0,0,250,0
ZRH,PHL,Zurich,Philadelphia,0,0,250,0
ZRH,PHL,Zurich,Philadelphia,0,0,250,0
